,userId,movieId,rating,movie_idx
560,79,2,4.0,104
561,79,3,5.0,418
563,79,5,5.0,454
564,79,6,4.0,127
565,79,7,4.0,394
567,79,10,3.0,66
568,79,11,4.0,257
571,79,16,4.0,197
572,79,17,4.0,275
573,79,19,2.0,177
574,79,21,2.0,172
577,79,25,3.0,226
581,79,32,4.0,31
582,79,34,4.0,74
583,79,36,5.0,274
588,79,47,4.0,15
589,79,50,1.0,13
593,79,62,4.0,208
604,79,95,4.0,192
607,79,104,4.0,139
609,79,110,5.0,7
610,79,112,4.0,494
615,79,141,4.0,183
616,79,145,4.0,430
618,79,150,4.0,17
620,79,153,3.0,59
621,79,158,4.0,309
623,79,160,5.0,368
624,79,161,3.0,125
625,79,163,3.0,279
626,79,165,3.0,49
627,79,168,5.0,395
635,79,185,3.0,99
636,79,186,3.0,463
645,79,208,3.0,95
649,79,216,4.0,450
655,79,225,4.0,421
657,79,231,3.0,62
668,79,253,3.0,107
676,79,266,3.0,265
687,79,288,2.0,157
690,79,292,4.0,131
691,79,293,3.0,64
692,79,296,2.0,2
701,79,316,5.0,55
702,79,317,4.0,201
703,79,318,5.0,1
705,79,329,4.0,112
708,79,333,5.0,436
710,79,337,5.0,219
711,79,339,4.0,140
715,79,344,3.0,40
718,79,349,5.0,102
719,79,350,5.0,369
722,79,353,4.0,293
725,79,356,5.0,0
726,79,357,3.0,124
732,79,364,5.0,32
734,79,367,4.0,42
735,79,368,5.0,236
736,79,370,4.0,349
739,79,377,5.0,34
741,79,380,4.0,30
746,79,410,3.0,191
752,79,432,5.0,386
753,79,434,4.0,132
754,79,435,3.0,304
756,79,440,4.0,227
759,79,454,4.0,133
761,79,457,5.0,22
764,79,466,2.0,330
768,79,474,4.0,256
771,79,480,5.0,6
772,79,485,3.0,411
779,79,500,5.0,48
782,79,508,4.0,281
783,79,509,3.0,321
787,79,520,3.0,261
789,79,527,3.0,9
794,79,539,3.0,117
800,79,552,3.0,317
801,79,553,5.0,283
804,79,587,5.0,96
805,79,588,5.0,27
806,79,589,3.0,8
807,79,590,5.0,38
808,79,592,3.0,23
809,79,593,4.0,3
810,79,594,4.0,218
811,79,595,5.0,46
812,79,596,3.0,328
813,79,597,4.0,61
815,79,608,3.0,28
829,79,708,4.0,348
834,79,736,5.0,80
839,79,780,5.0,16
840,79,783,5.0,477
844,79,802,4.0,495
871,79,1073,3.0,90
1772,42,1,3.5,11
1773,42,2,3.0,104
1774,42,6,4.0,127
1775,42,16,4.5,197
1776,42,32,4.0,31
1777,42,34,2.5,74
1778,42,36,4.0,274
1779,42,47,4.5,15
1780,42,50,5.0,13
1781,42,70,3.5,383
1782,42,104,2.5,139
1783,42,110,4.5,7
1784,42,111,4.0,123
1785,42,145,3.5,430
1786,42,163,4.0,279
1787,42,165,4.0,49
1789,42,208,3.0,95
1790,42,223,4.0,120
1791,42,231,2.5,62
1792,42,235,4.5,252
1793,42,260,4.0,5
1794,42,288,4.0,157
1795,42,293,4.5,64
1796,42,296,4.0,2
1797,42,318,5.0,1
1798,42,329,4.0,112
1799,42,337,4.0,219
1800,42,344,2.5,40
1801,42,356,4.5,0
1802,42,364,3.0,32
1803,42,367,2.5,42
1804,42,370,3.0,349
1806,42,377,2.5,34
1807,42,380,2.5,30
1809,42,435,2.0,304
1810,42,442,3.0,205
1811,42,457,3.5,22
1812,42,466,2.5,330
1813,42,480,3.5,6
1814,42,500,3.5,48
1816,42,508,4.0,281
1817,42,527,4.5,9
1818,42,541,4.0,79
1819,42,555,4.0,289
1820,42,586,3.5,93
1821,42,588,3.5,27
1822,42,589,4.5,8
1823,42,590,4.0,38
1824,42,593,4.5,3
1825,42,595,3.0,46
1826,42,608,4.5,28
1828,42,648,3.0,39
1829,42,653,3.0,290
1830,42,673,3.0,403
1831,42,745,4.0,468
1832,42,778,4.5,130
1833,42,780,4.0,16
1834,42,784,2.0,398
1836,42,858,4.0,21
1837,42,904,4.5,190
1838,42,908,4.0,366
1840,42,919,4.0,156
1841,42,923,5.0,259
1842,42,924,4.0,108
1844,42,1036,4.0,47
1846,42,1080,4.5,171
1848,42,1089,4.0,68
1850,42,1136,4.5,60
1851,42,1148,4.5,381
1852,42,1193,4.5,65
1853,42,1196,4.0,12
1854,42,1198,4.0,18
1855,42,1201,5.0,244
1856,42,1203,5.0,367
1857,42,1206,4.5,86
1858,42,1207,4.5,355
1859,42,1208,3.5,113
1861,42,1210,4.5,20
1863,42,1213,4.5,75
1864,42,1214,4.0,45
1865,42,1219,4.5,194
1866,42,1221,5.0,73
1867,42,1222,4.5,128
1870,42,1234,4.5,296
1871,42,1240,4.0,69
1873,42,1246,4.0,184
1874,42,1247,4.5,213
1875,42,1252,4.0,343
1877,42,1270,4.0,33
1878,42,1275,3.5,460
1879,42,1276,4.0,370
1880,42,1291,4.0,56
1881,42,1356,4.5,166
1882,42,1370,3.5,266
1884,42,1374,4.5,312
1886,42,1391,3.0,182
1887,42,1466,4.0,419
1888,42,1517,2.5,134
1889,42,1527,3.5,94
1890,42,1544,3.5,277
1891,42,1580,3.5,37
1892,42,1608,3.0,353
1893,42,1617,4.0,141
1894,42,1625,3.5,217
1895,42,1653,3.5,185
1896,42,1676,3.5,206
1897,42,1682,3.0,77
1898,42,1704,4.0,53
1899,42,1721,4.0,58
1900,42,1729,4.0,470
1901,42,1732,4.5,116
1902,42,1784,3.5,147
1905,42,1917,3.0,158
1908,42,1954,4.0,292
1909,42,1961,4.0,149
1910,42,2000,4.0,230
1911,42,2001,3.5,482
1912,42,2002,3.5,499
1913,42,2011,3.5,181
1914,42,2012,3.0,173
1915,42,2019,4.0,461
1916,42,2028,4.0,24
1918,42,2115,4.0,111
1920,42,2194,3.5,288
1921,42,2268,4.0,364
1923,42,2291,4.0,207
1924,42,2324,4.5,176
1925,42,2329,4.0,72
1933,42,2470,3.0,365
1935,42,2542,4.5,272
1936,42,2571,4.5,4
1937,42,2683,2.5,85
1938,42,2692,3.0,231
1939,42,2706,3.5,126
1940,42,2762,4.5,29
1941,42,2918,3.5,110
1944,42,2959,4.5,10
1945,42,2997,4.0,138
1946,42,3052,4.5,210
1947,42,3081,4.0,313
1948,42,3147,4.0,101
1949,42,3253,3.0,319
1953,42,3578,4.5,35
1956,42,3751,3.5,215
1957,42,3785,2.0,442
1958,42,3793,4.0,63
1960,42,3949,4.5,146
1961,42,3994,2.5,241
1963,42,4011,4.5,154
1964,42,4226,4.5,41
1965,42,4239,4.0,429
1966,42,4262,4.0,278
1967,42,4306,4.0,36
1970,42,4643,3.0,455
1972,42,4816,3.0,401
1973,42,4886,4.0,67
1974,42,4896,3.5,115
1975,42,4963,4.0,91
1976,42,4973,4.0,89
1977,42,4993,4.5,19
1978,42,4995,4.5,81
1981,42,5218,4.0,186
1983,42,5349,4.0,83
1984,42,5418,4.0,100
1985,42,5445,4.0,88
1986,42,5459,2.5,322
1987,42,5464,4.0,456
1988,42,5481,3.0,285
1991,42,5669,3.5,357
1992,42,5679,4.0,483
1993,42,5816,3.5,129
1996,42,5952,3.5,25
1997,42,5956,4.0,387
1998,42,5989,4.0,97
2002,42,6333,4.0,228
2003,42,6365,3.5,148
