,userId,movieId,rating,movie_idx
1772,42,1,3.5,11
1773,42,2,3.0,104
1774,42,6,4.0,127
1775,42,16,4.5,197
1776,42,32,4.0,31
1777,42,34,2.5,74
1779,42,47,4.5,15
1780,42,50,5.0,13
1782,42,104,2.5,139
1783,42,110,4.5,7
1784,42,111,4.0,123
1787,42,165,4.0,49
1789,42,208,3.0,95
1790,42,223,4.0,120
1791,42,231,2.5,62
1793,42,260,4.0,5
1794,42,288,4.0,157
1795,42,293,4.5,64
1796,42,296,4.0,2
1797,42,318,5.0,1
1798,42,329,4.0,112
1800,42,344,2.5,40
1801,42,356,4.5,0
1802,42,364,3.0,32
1803,42,367,2.5,42
1806,42,377,2.5,34
1807,42,380,2.5,30
1811,42,457,3.5,22
1813,42,480,3.5,6
1814,42,500,3.5,48
1817,42,527,4.5,9
1818,42,541,4.0,79
1820,42,586,3.5,93
1821,42,588,3.5,27
1822,42,589,4.5,8
1823,42,590,4.0,38
1824,42,593,4.5,3
1825,42,595,3.0,46
1826,42,608,4.5,28
1828,42,648,3.0,39
1832,42,778,4.5,130
1833,42,780,4.0,16
1836,42,858,4.0,21
1837,42,904,4.5,190
1840,42,919,4.0,156
1842,42,924,4.0,108
1844,42,1036,4.0,47
1846,42,1080,4.5,171
1848,42,1089,4.0,68
1850,42,1136,4.5,60
1852,42,1193,4.5,65
1853,42,1196,4.0,12
1854,42,1198,4.0,18
1857,42,1206,4.5,86
1859,42,1208,3.5,113
1861,42,1210,4.5,20
1863,42,1213,4.5,75
1864,42,1214,4.0,45
1865,42,1219,4.5,194
1866,42,1221,5.0,73
1867,42,1222,4.5,128
1871,42,1240,4.0,69
1873,42,1246,4.0,184
1877,42,1270,4.0,33
1880,42,1291,4.0,56
1881,42,1356,4.5,166
1886,42,1391,3.0,182
1888,42,1517,2.5,134
1889,42,1527,3.5,94
1891,42,1580,3.5,37
1893,42,1617,4.0,141
1895,42,1653,3.5,185
1897,42,1682,3.0,77
1898,42,1704,4.0,53
1899,42,1721,4.0,58
1901,42,1732,4.5,116
1902,42,1784,3.5,147
1905,42,1917,3.0,158
1909,42,1961,4.0,149
1913,42,2011,3.5,181
1914,42,2012,3.0,173
1916,42,2028,4.0,24
1918,42,2115,4.0,111
1924,42,2324,4.5,176
1925,42,2329,4.0,72
1936,42,2571,4.5,4
1937,42,2683,2.5,85
1939,42,2706,3.5,126
1940,42,2762,4.5,29
1941,42,2918,3.5,110
1944,42,2959,4.5,10
1945,42,2997,4.0,138
1948,42,3147,4.0,101
1953,42,3578,4.5,35
1958,42,3793,4.0,63
1960,42,3949,4.5,146
1963,42,4011,4.5,154
1964,42,4226,4.5,41
1967,42,4306,4.0,36
1973,42,4886,4.0,67
1974,42,4896,3.5,115
1975,42,4963,4.0,91
1976,42,4973,4.0,89
1977,42,4993,4.5,19
1978,42,4995,4.5,81
1981,42,5218,4.0,186
1983,42,5349,4.0,83
1984,42,5418,4.0,100
1985,42,5445,4.0,88
1993,42,5816,3.5,129
1996,42,5952,3.5,25
1998,42,5989,4.0,97
2003,42,6365,3.5,148
2005,42,6377,4.0,54
2009,42,6539,4.5,44
2016,42,6874,3.5,70
2021,42,7153,4.5,26
2027,42,7361,4.0,71
2029,42,7438,3.5,105
2033,42,8360,3.5,160
2035,42,8368,3.5,153
2045,42,8961,3.5,78
2058,42,32587,3.5,193
2061,42,33794,4.5,92
2074,42,44191,4.5,137
2086,42,48516,4.5,114
2087,42,48780,4.5,170
2113,42,58559,4.0,43
2114,42,59315,4.0,152
2131,42,68157,3.5,175
2135,42,68954,4.0,119
2146,42,72998,4.0,145
2162,42,79132,4.5,51
2274,25,1,4.0,11
2275,25,2,3.0,104
2278,25,10,2.0,66
2282,25,19,2.0,177
2283,25,32,4.0,31
2284,25,34,4.0,74
2286,25,47,3.0,15
2295,25,104,2.0,139
2299,25,141,1.0,183
2300,25,153,2.0,59
2302,25,161,2.0,125
2303,25,165,3.0,49
2306,25,185,2.0,99
2309,25,208,2.0,95
2311,25,223,3.0,120
2312,25,231,2.0,62
2315,25,253,3.0,107
2318,25,260,4.0,5
2322,25,293,4.0,64
2324,25,316,2.0,55
2328,25,329,2.0,112
2333,25,339,3.0,140
2334,25,344,2.0,40
2339,25,356,2.0,0
2340,25,357,4.0,124
2342,25,364,3.0,32
2344,25,367,4.0,42
2349,25,377,4.0,34
2352,25,380,3.0,30
2354,25,410,2.0,191
2361,25,434,3.0,132
2368,25,457,4.0,22
2373,25,480,2.0,6
2379,25,500,2.0,48
2384,25,539,3.0,117
2386,25,541,4.0,79
2390,25,551,5.0,155
2393,25,586,3.0,93
2394,25,587,3.0,96
2395,25,588,3.0,27
